image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,crop_safe
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\06.png,06.png,576,2241,0.257,1,6.5,6.5,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\07.png,07.png,1768,1568,1.1276,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\venus_skirt\08.png,08.png,1752,1568,1.1173,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\v_front-crop\01.png,01.png,993,1385,0.717,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\v_front-crop\02.png,02.png,710,1384,0.513,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\v_front-crop\03.png,03.png,374,1258,0.2973,1,5.93,5.93,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\v_front-crop\04.png,04.png,581,1654,0.3513,1,4.91,4.91,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\v_front-crop\05.png,05.png,374,1252,0.2987,1,6.75,6.75,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\nandex\v_front-crop\06.png,06.png,404,1252,0.3227,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\biker_shorts\01.png,01.png,547,722,0.7576,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\biker_shorts\02.png,02.png,902,1414,0.6379,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\biker_shorts\03.png,03.png,1193,1798,0.6635,1,7.5,7.5,9.1,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\biker_shorts\04.png,04.png,545,1164,0.4682,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\biker_shorts\05.png,05.png,2542,4208,0.6041,1,12.12,12.12,13.9,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\bralette\01.png,01.png,464,595,0.7798,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\bralette\02.png,02.png,565,722,0.7825,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\bralette\03.png,03.png,830,1405,0.5907,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\bralette\04.png,04.png,416,1186,0.3508,1,3.99,3.99,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\scoop_long_sleeve\01.png,01.png,1184,1520,0.7789,1,10.18,10.18,12.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\scoop_long_sleeve\02.png,02.png,488,818,0.5966,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\scoop_long_sleeve\03.png,03.png,980,1414,0.6931,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\scoop_long_sleeve\04.png,04.png,386,1195,0.323,1,6.37,6.37,8.0,1.0
