image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,alpha_top_pct,final_crop_safe,decision_reason
images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\01.png,01.png,884,1163,0.7601,1,7.12,7.12,9.0,0.43,1,face
images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\02.png,02.png,678,918,0.7386,1,6.63,6.63,9.4,0.65,1,face
images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\03.png,03.png,375,894,0.4195,1,7.45,7.45,10.0,0.78,1,face
images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\04.png,04.png,657,933,0.7042,1,11.35,11.35,14.4,0.54,1,face
images\brands\adidas\women\3-stripes\hyperglam_long_sleeve_crop_top_and_full-length_leggings\05.png,05.png,750,957,0.7837,1,0.0,0.0,8.0,0.0,0,face
images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\01.png,01.png,600,600,1.0,0,,0.0,,0.0,0,alpha
images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\02.png,02.png,435,928,0.4688,0,,0.0,,0.0,0,alpha
images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\03.png,03.png,621,928,0.6692,1,6.3,6.3,10.0,0.0,1,face
images\brands\adidas\women\3-stripes\powerreact_training-medium_support-sports_bra\04.png,04.png,642,783,0.8199,0,,1.02,,1.02,0,alpha
images\brands\adidas\women\3-stripes\tights\01.png,01.png,1200,2250,0.5333,1,8.59,8.59,13.7,0.0,1,face
images\brands\adidas\women\3-stripes\tights\02.png,02.png,1648,2026,0.8134,1,8.59,8.59,12.0,1.09,1,face
images\brands\adidas\women\3-stripes\tube_top\01.png,01.png,348,813,0.428,1,9.21,9.21,11.0,0.98,1,face
images\brands\adidas\women\3-stripes\tube_top\02.png,02.png,824,1922,0.4287,1,11.54,11.54,13.0,0.36,1,face
images\brands\adidas\women\3-stripes\tube_top\03.png,03.png,572,1868,0.3062,1,5.7,5.7,8.0,0.64,0,face
images\brands\adidas\women\3-stripes\tube_top\04.png,04.png,348,313,1.1118,0,,0.0,,0.0,0,alpha
images\brands\asics\banners\men\01-cross-country-running.jpg,01-cross-country-running.jpg,1640,600,2.7333,0,,,,,1,none
images\brands\asics\men\gel_training\shorts\01.png,01.png,552,1215,0.4543,1,4.89,4.89,8.0,0.82,0,face
images\brands\asics\men\gel_training\shorts\02.png,02.png,522,882,0.5918,0,,0.0,,0.0,0,alpha
images\brands\asics\men\gel_training\shorts\03.png,03.png,342,903,0.3787,1,4.44,4.44,8.0,0.78,0,face
images\brands\asics\men\gel_training\shorts\04.png,04.png,750,957,0.7837,0,,0.0,,0.0,0,alpha
images\brands\asics\men\gel_training\shorts\05.png,05.png,441,894,0.4933,0,,0.0,,0.0,0,alpha
images\brands\asics\men\gel_training\Zip-Track_Top\01.png,01.png,592,1191,0.4971,1,10.02,10.02,12.4,0.84,1,face
images\brands\asics\men\gel_training\Zip-Track_Top\02.png,02.png,414,939,0.4409,1,8.12,8.12,10.8,0.85,1,face
images\brands\asics\men\gel_training\Zip-Track_Top\03.png,03.png,321,888,0.3615,1,0.7,0.7,8.0,0.9,0,face
images\brands\asics\men\gel_training\Zip-Track_Top\04.png,04.png,489,900,0.5433,1,11.48,11.48,14.8,0.78,1,face
