itemId	images	thumbnails_json	chosen_image	itemName
60	NULL	images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/01.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/02.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/03.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/04.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/05.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/06.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/07.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/08.png;images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/09.png	images/brands/adidas/men/poly_linear_full_zip_hoodie_and_pants/03.png	Poly Linear Full-Zip Hoodie and Pants
61	NULL	images/brands/adidas/men/3-stripes/running_tee/01.png	images/brands/adidas/men/3-stripes/running_tee/01.png	Running Tee (3-Stripes)
62	NULL	images/brands/adidas/women/3-stripes/flared_leggings/01.png;images/brands/adidas/women/3-stripes/flared_leggings/02.png	images/brands/adidas/women/3-stripes/flared_leggings/01.png	Flared Leggings (3-Stripes)
63	NULL	images/brands/adidas/women/3-stripes/tube_top/01.png;images/brands/adidas/women/3-stripes/tube_top/02.png;images/brands/adidas/women/3-stripes/tube_top/03.png;images/brands/adidas/women/3-stripes/tube_top/04.png	images/brands/adidas/women/3-stripes/tube_top/03.png	Tube Top (3-Stripes)
64	NULL	images/brands/adidas/women/3-stripes/booty_shorts/01.png;images/brands/adidas/women/3-stripes/booty_shorts/02.png;images/brands/adidas/women/3-stripes/booty_shorts/03.png;images/brands/adidas/women/3-stripes/booty_shorts/04.png;images/brands/adidas/women/3-stripes/booty_shorts/05.png	images/brands/adidas/women/3-stripes/booty_shorts/03.png	Booty Shorts (3-Stripes)
65	NULL	images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/01.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/02.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/03.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/04.png;images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/05.png	images/brands/adidas/women/3-stripes/hyperglam_long_sleeve_crop_top_and_full-length_leggings/03.png	Hyperglam Long Sleeve Crop Top and Full-Length Leggings
66	NULL	images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/01.png;images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/02.png;images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/03.png;images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/04.png	images/brands/adidas/women/3-stripes/powerreact_training-medium_support-sports_bra/03.png	Powerreact Training Medium Support Sports Bra
67	NULL	images/brands/adidas/women/3-stripes/tights/01.png;images/brands/adidas/women/3-stripes/tights/02.png	images/brands/adidas/women/3-stripes/tights/01.png	Powerreact Training Tights
68	NULL	images/brands/adidas/other/UEFA_Euro16-Top_Glider_Ball.png	images/brands/adidas/other/UEFA_Euro16-Top_Glider_Ball.png	UEFA Euro16 Top Glider Ball
69	NULL	images/brands/nike/other/600ml_waterbottle.png	images/brands/nike/other/600ml_waterbottle.png	600ml Water Bottle
