row_number,db_itemId,model_id,itemName,row_group,field,finding_category,readiness_category,issue_type,blank_or_issue_count,remediation_owner,remediation_pathway,suggested_action,governance_note,frontend_ready,import_ready,admin_visible_ok
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
46,,ryderwear_female_nkd_bodysuit_v_scrunch,"NKD Scrunch Bodysuit",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,price,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,images,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,external_item_id,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,no,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,description,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,altText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
47,,ryderwear_female_nkd_leggings_flared_cross_over,"NKD Cross Waist Flared Leggings",likely_new,ariaText,blank_required_or_policy_field,admin-remediation,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,review,review,yes
48,,ryderwear_female_nkd_sports_bra_elastic_underbust_band_bandeau_strapless_low_support,"NKD Bandeau Sports Bra",likely_new,categoryName,blank_required_or_policy_field,import-readiness-blocking,blank,1,excel-csv-source-of-truth,"fix in Excel/CSV","Populate source field in Excel/CSV for likely-new row.",,no,no,yes
