"relative_folder","semantic_display_path","semantic_axis_values","product_signal_terms","likely_colour_folder","parent_folder","top_namespace","second_namespace","third_namespace","folder_depth","direct_image_count","image_files","full_folder_path"
"Women/NKD/Tops/Tee/Slight_Cropped/White","Women | NKD | Tops | Tee | Slight_Cropped | White","","Women | NKD | Tops | Tee | Slight_Cropped | White","White","Slight_Cropped","Women","NKD","Tops","6","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\NKD\Tops\Tee\Slight_Cropped\White"
"Women/Non-NKD/Banners","Women | Non-NKD | Banners","","Women | Non-NKD | Banners","Banners","Non-NKD","Women","Non-NKD","Banners","3","1","Ribbed_Seamless.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Banners"
"Women/Non-NKD/Bodysuit/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black","Women | Non-NKD | Bodysuit | Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Black","Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Black","Women | Non-NKD | Bodysuit","Black","Rib","Women","Non-NKD","Bodysuit","10","8","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp | 07.webp | 08.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bodysuit\Fabric\Ribbed\Scrunch\Seamless\__Collection\Rib\Black"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Fern","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Fern","Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Fern","Women | Non-NKD | Bottoms | Leggings","Fern","Marl","Women","Non-NKD","Bottoms","11","4","01.png | 02.png | 03.png | 04.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Cross_Over\__Collection\Icon\Marl\Fern"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Mocha","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Mocha","Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Mocha","Women | Non-NKD | Bottoms | Leggings","Mocha","Marl","Women","Non-NKD","Bottoms","11","4","01.png | 02.png | 03.png | 04.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Cross_Over\__Collection\Icon\Marl\Mocha"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Navy","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Navy","Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Navy","Women | Non-NKD | Bottoms | Leggings","Navy","Marl","Women","Non-NKD","Bottoms","11","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Cross_Over\__Collection\Icon\Marl\Navy"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Cross_Over/__Collection/Icon/Marl/Violet","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Violet","Construction=Scrunch > Cross_Over | Collection=Icon > Marl > Violet","Women | Non-NKD | Bottoms | Leggings","Violet","Marl","Women","Non-NKD","Bottoms","11","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Cross_Over\__Collection\Icon\Marl\Violet"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Berry","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Berry","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Berry","Women | Non-NKD | Bottoms | Leggings","Berry","BBL","Women","Non-NKD","Bottoms","12","4","01.webp | 02.webp | 03.webp | 04.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Berry"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Black","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Black","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Black","Women | Non-NKD | Bottoms | Leggings","Black","BBL","Women","Non-NKD","Bottoms","12","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Black"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Dusty_Pink","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Dusty_Pink","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Dusty_Pink","Women | Non-NKD | Bottoms | Leggings","Dusty_Pink","BBL","Women","Non-NKD","Bottoms","12","4","01.webp | 02.webp | 03.webp | 04.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Dusty_Pink"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Espresso","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Espresso","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Espresso","Women | Non-NKD | Bottoms | Leggings","Espresso","BBL","Women","Non-NKD","Bottoms","12","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Espresso"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Petrol","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Petrol","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Petrol","Women | Non-NKD | Bottoms | Leggings","Petrol","BBL","Women","Non-NKD","Bottoms","12","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Petrol"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Sand","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Sand","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Sand","Women | Non-NKD | Bottoms | Leggings","Sand","BBL","Women","Non-NKD","Bottoms","12","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Sand"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Lift_2.0/BBL/Tan","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Tan","Construction=Scrunch > Invisible > Seamless | Collection=Lift_2.0 > BBL > Tan","Women | Non-NKD | Bottoms | Leggings","Tan","BBL","Women","Non-NKD","Bottoms","12","5","01.webp | 02.webp | 03.webp | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Lift_2.0\BBL\Tan"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Stonewash/Black","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Stonewash > Black","Construction=Scrunch > Invisible > Seamless | Collection=Stonewash > Black","Women | Non-NKD | Bottoms | Leggings","Black","Stonewash","Women","Non-NKD","Bottoms","11","5","01.jpg | 02.webp | 03.webp | 04.jpg | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Stonewash\Black"
"Women/Non-NKD/Bottoms/Leggings/Construction/Scrunch/Invisible/Seamless/__Collection/Stonewash/Petrol","Women | Non-NKD | Bottoms | Leggings | Construction=Scrunch > Invisible > Seamless | Collection=Stonewash > Petrol","Construction=Scrunch > Invisible > Seamless | Collection=Stonewash > Petrol","Women | Non-NKD | Bottoms | Leggings","Petrol","Stonewash","Women","Non-NKD","Bottoms","11","5","01.jpg | 02.webp | 03.jpg | 04.webp | 05.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Construction\Scrunch\Invisible\Seamless\__Collection\Stonewash\Petrol"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Legacy/Leopard/Black","Women | Non-NKD | Bottoms | Leggings | Fabric | Legacy=Leopard > Black","Legacy=Leopard > Black","Women | Non-NKD | Bottoms | Leggings","Black","Leopard","Women","Non-NKD","Bottoms","8","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Legacy\Leopard\Black"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Legacy/Leopard/Pink","Women | Non-NKD | Bottoms | Leggings | Fabric | Legacy=Leopard > Pink","Legacy=Leopard > Pink","Women | Non-NKD | Bottoms | Leggings","Pink","Leopard","Women","Non-NKD","Bottoms","8","6","01.webp | 02.jpg | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Legacy\Leopard\Pink"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Black","Women | Non-NKD | Bottoms | Leggings | Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Black","Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Black","Women | Non-NKD | Bottoms | Leggings","Black","Rib","Women","Non-NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ribbed\Scrunch\Seamless\__Collection\Rib\Black"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Cobalt","Women | Non-NKD | Bottoms | Leggings | Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Cobalt","Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Cobalt","Women | Non-NKD | Bottoms | Leggings","Cobalt","Rib","Women","Non-NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ribbed\Scrunch\Seamless\__Collection\Rib\Cobalt"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Hot_Pink","Women | Non-NKD | Bottoms | Leggings | Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Hot_Pink","Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Hot_Pink","Women | Non-NKD | Bottoms | Leggings","Hot_Pink","Rib","Women","Non-NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ribbed\Scrunch\Seamless\__Collection\Rib\Hot_Pink"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Lime","Women | Non-NKD | Bottoms | Leggings | Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Lime","Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Lime","Women | Non-NKD | Bottoms | Leggings","Lime","Rib","Women","Non-NKD","Bottoms","11","6","01.webp | 02.webp | 03.jpg | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ribbed\Scrunch\Seamless\__Collection\Rib\Lime"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ribbed/Scrunch/Seamless/__Collection/Rib/Mango","Women | Non-NKD | Bottoms | Leggings | Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Mango","Fabric=Ribbed > Scrunch > Seamless | Collection=Rib > Mango","Women | Non-NKD | Bottoms | Leggings","Mango","Rib","Women","Non-NKD","Bottoms","11","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.jpg","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ribbed\Scrunch\Seamless\__Collection\Rib\Mango"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Berry","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Berry","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Berry","Women | Non-NKD | Bottoms | Leggings","Berry","Marl","Women","Non-NKD","Bottoms","14","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Berry"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Black","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Black","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Black","Women | Non-NKD | Bottoms | Leggings","Black","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Black"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Chocolate","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Chocolate","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Chocolate","Women | Non-NKD | Bottoms | Leggings","Chocolate","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Chocolate"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Forest_Green","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Forest_Green","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Forest_Green","Women | Non-NKD | Bottoms | Leggings","Forest_Green","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Forest_Green"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Light_Grey","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Light_Grey","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Light_Grey","Women | Non-NKD | Bottoms | Leggings","Light_Grey","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Light_Grey"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Navy","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Navy","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Navy","Women | Non-NKD | Bottoms | Leggings","Navy","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Navy"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Sky_Blue","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Sky_Blue","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Sky_Blue","Women | Non-NKD | Bottoms | Leggings","Sky_Blue","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Sky_Blue"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/Marl/Stone","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Stone","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > Marl > Stone","Women | Non-NKD | Bottoms | Leggings","Stone","Marl","Women","Non-NKD","Bottoms","14","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\Marl\Stone"
"Women/Non-NKD/Bottoms/Leggings/Fabric/Ultra_Soft/Seamless/Scrunch/Invisible/__Collection/Contour/High_Waisted/V_Dip/Black","Women | Non-NKD | Bottoms | Leggings | Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > V_Dip > Black","Fabric=Ultra_Soft > Seamless > Scrunch > Invisible | Collection=Contour > High_Waisted > V_Dip > Black","Women | Non-NKD | Bottoms | Leggings","Black","V_Dip","Women","Non-NKD","Bottoms","14","6","01.webp | 02.webp | 03.webp | 04.webp | 05.webp | 06.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Fabric\Ultra_Soft\Seamless\Scrunch\Invisible\__Collection\Contour\High_Waisted\V_Dip\Black"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/__Collection/Replay/Coral","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted | Collection=Replay > Coral","Rise=High_Waisted | Collection=Replay > Coral","Women | Non-NKD | Bottoms | Leggings","Coral","Replay","Women","Non-NKD","Bottoms","9","5","01.jpg | 02.webp | 03.jpg | 04.webp | 05.jpg","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\__Collection\Replay\Coral"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Black","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Minimal > Seamless | Collection | Legacy=Empower > Leopard > Black","Rise=High_Waisted > Scrunch > Minimal > Seamless | Legacy=Empower > Leopard > Black","Women | Non-NKD | Bottoms | Leggings","Black","Leopard","Women","Non-NKD","Bottoms","14","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Minimal\Seamless\__Collection\Legacy\Empower\Leopard\Black"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Mocha","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Minimal > Seamless | Collection | Legacy=Empower > Leopard > Mocha","Rise=High_Waisted > Scrunch > Minimal > Seamless | Legacy=Empower > Leopard > Mocha","Women | Non-NKD | Bottoms | Leggings","Mocha","Leopard","Women","Non-NKD","Bottoms","14","4","01.png | 02.png | 03.png | 04.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Minimal\Seamless\__Collection\Legacy\Empower\Leopard\Mocha"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Empower/Leopard/Vanilla","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Minimal > Seamless | Collection | Legacy=Empower > Leopard > Vanilla","Rise=High_Waisted > Scrunch > Minimal > Seamless | Legacy=Empower > Leopard > Vanilla","Women | Non-NKD | Bottoms | Leggings","Vanilla","Leopard","Women","Non-NKD","Bottoms","14","5","01.png | 02.png | 03.png | 04.png | 05.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Minimal\Seamless\__Collection\Legacy\Empower\Leopard\Vanilla"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Honeycomb/Black","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Minimal > Seamless | Collection | Legacy=Honeycomb > Black","Rise=High_Waisted > Scrunch > Minimal > Seamless | Legacy=Honeycomb > Black","Women | Non-NKD | Bottoms | Leggings","Black","Honeycomb","Women","Non-NKD","Bottoms","13","6","01.png | 02.png | 03.png | 04.png | 05.png | 06.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Minimal\Seamless\__Collection\Legacy\Honeycomb\Black"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Honeycomb/Bright_Pink","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Minimal > Seamless | Collection | Legacy=Honeycomb > Bright_Pink","Rise=High_Waisted > Scrunch > Minimal > Seamless | Legacy=Honeycomb > Bright_Pink","Women | Non-NKD | Bottoms | Leggings","Bright_Pink","Honeycomb","Women","Non-NKD","Bottoms","13","7","01.png | 02.png | 03.png | 04.png | 05.png | 06.png | 07.png","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Minimal\Seamless\__Collection\Legacy\Honeycomb\Bright_Pink"
"Women/Non-NKD/Bottoms/Leggings/Rise/High_Waisted/Scrunch/Minimal/Seamless/__Collection/Legacy/Honeycomb/Candy_Pink","Women | Non-NKD | Bottoms | Leggings | Rise=High_Waisted > Scrunch > Minimal > Seamless | Collection | Legacy=Honeycomb > Candy_Pink","Rise=High_Waisted > Scrunch > Minimal > Seamless | Legacy=Honeycomb > Candy_Pink","Women | Non-NKD | Bottoms | Leggings","Candy_Pink","Honeycomb","Women","Non-NKD","Bottoms","13","4","01.webp | 02.webp | 03.webp | 04.webp","C:\Users\rjfra\OneDrive\Hornsby\Assignments\Sport_Warehouse\images\Clothing\Ryderwear\Women\Non-NKD\Bottoms\Leggings\Rise\High_Waisted\Scrunch\Minimal\Seamless\__Collection\Legacy\Honeycomb\Candy_Pink"
